query,answer
什么情况下应优先用 RAG 而不是微调来补充企业知识？,当知识主要来自外部文档且更新频繁、需要给出处、不能为每次更新重训模型时，优先用 RAG；微调更适合稳定风格、格式或任务习惯，而不是频繁变化的事实知识。
LangChain 官方教程中，简单问答场景更快的 RAG 结构是什么？,LangChain 官方把简单问答的快路径概括为两步式 RAG chain：先检索，再用一次 LLM 生成答案；相比 Agent 式多轮检索，它调用更少、延迟更低，更适合简单问题。
LangGraph 中启用 durable execution 的关键前提是什么？,关键前提是启用 checkpointer。LangGraph 文档明确说明：编译图时接入 checkpointer 就具备 durable execution；若用 Agent Server，持久化与 checkpoint 通常由服务端自动处理。
LangGraph 中 interrupt 的作用是什么？,interrupt 用于在图执行到指定位置时暂停，并等待外部输入后继续。恢复时把输入作为 interrupt 的返回值传回节点，适合审批、人工校对和高风险工具确认。
LangChain v1 中 create_agent 的核心可扩展机制是什么？,核心机制是 middleware。它负责在代理生命周期中插入动态提示、上下文裁剪、工具控制、模型切换、PII 处理和人工审批等生产级控制逻辑。
LangSmith 中 dataset、experiment、evaluator 的关系如何划分？,Dataset 是评测样本集合；Experiment 是某次在数据集上的运行结果集合；Evaluator 是打分函数或规则。三者串起来才形成可复现实验与可比较评测。
LlamaIndex 的 Workflow 在官方定义里是什么？,官方将 Workflow 定义为事件驱动、分步骤的执行流抽象。每个 step 处理某类事件并产出新事件，适合做多阶段 RAG、Agent 编排和异步流程控制。
MCP 中 resources、tools、prompts 三类能力分别是什么？,Resources 提供可读取的上下文数据；Tools 提供可执行函数；Prompts 提供可参数化的提示模板或工作流。三者共同构成 MCP 服务器向客户端暴露的核心能力。
截至 2026 年 4 月，Microsoft AutoGen 开源仓库在 GitHub README 中的状态是什么？,截至 2026 年 4 月，AutoGen 仓库 README 明确标注为 maintenance mode，即进入维护模式：后续以维护为主，不再积极增加新特性。
截至 2026 年 4 月，MCP 2025-11-25 规范新增且仍属实验性的能力是什么？,MCP 2025-11-25 版规范里新增且仍标注为实验性的能力是 tasks。它不是早期基础三件套的一部分，语义和行为后续仍可能变化。
为什么离线评测不能替代线上评测？,离线评测回答历史样本的稳定性问题，线上评测回答真实流量、分布漂移和工具故障问题。只做离线，常会高估系统上线后的真实质量。
BM25 和向量检索在召回上的主要差异是什么？,BM25 依赖关键词匹配和词频统计，适合精确术语、缩写、编号；向量检索依赖语义相似，适合同义改写和自然语言表达。企业场景里两者常互补。
Reranker 与向量召回的分工是什么？,向量召回负责从大库里快速找候选，重排负责在小候选集里做更细排序。前者追求召回率，后者追求前几条的精度，二者不是替代关系。
为什么 top_k 提高后答案反而更差？,top_k 变大后答案变差，常见原因是噪声上下文增加、证据相互冲突、提示词没有强制模型只依赖高相关片段，导致注意力被稀释。
如何判断 chunk 过大？,chunk 过大的常见症状是检索粒度太粗：能命中文档却命不中答案所在段，返回片段夹杂大量无关内容，最终生成变慢且更容易答偏。
如何判断 chunk 过小？,chunk 过小的常见症状是语义被切碎：模型拿到单句却缺上下文，容易漏条件、错指代、答得零碎；同时召回数量会上升，重排成本也更高。
为什么更换 embedding 模型后不能直接复用旧向量库？,不能直接复用。更换 embedding 模型后，向量维度、空间分布和相似度语义都可能变化，新查询向量与旧库向量不再处于同一可比较空间。
Prompt injection 与 jailbreak 是什么关系？,Prompt injection 是更大类的攻击；jailbreak 通常可视为其中一种，目标更偏向让模型绕过原有安全约束或系统指令。
判断 RAG 幻觉最直接的自动化维度之一是什么？,对 RAG 而言，自动化检测幻觉最常用的维度之一是 faithfulness 或 groundedness，即答案是否能被检索到的上下文直接支持。
截至 2026 年 4 月，LangSmith 在线评测在 UI 中主要挂在哪个入口下？,截至 2026 年 4 月，LangSmith 在线评测的典型 UI 入口是在 Tracing 页面选定项目后进入 Evaluators 标签，而不是先从离线数据集页发起。
企业知识库每天更新，如何设计增量索引避免全量重嵌入？,企业知识库每天更新时，增量索引的核心不是按时间粗暴全量重建，而是按文档标识和内容哈希做变更检测。工程上可把原始文档稳定映射为 doc_id，每次导入先比较新旧 hash，只对新增、变更、删除的文档执行切分、嵌入和向量写入。若框架支持文档管理，例如把 doc_id 与 document_hash 关联，就能避免未变文档重复重嵌入。这样既降低成本，也能让评测集更容易定位索引滞后究竟是摄取层、切分层还是检索层的问题。
RAG 经常答非所问，如何按链路排查？,当 RAG 经常答非所问时，排查应按链路分层，而不是直接怪模型。第一层看 query 是否被错误改写或路由到错误知识库；第二层看召回，核对 topk 片段是否真的包含答案；第三层看重排，是否把真正相关片段压到后面；第四层看生成提示，是否要求引用证据、冲突时保守回答；第五层看上下文拼接，是否把无关段落混入导致模型偏航。只有把每一层的输入输出都打日志，才能做可复盘、可自动评测的失败归因。
用户问今年最新 LangChain 特性，RAG 系统为什么必须走联网或高时效数据源？,对于询问今年最新特性、当前版本行为、近期公告这类问题，RAG 系统如果不接入联网搜索或高时效数据源，就会天然暴露时间漂移风险。原因很简单：基础模型参数里的知识是历史快照，而这类问题要求以当前时间为准。可判分的系统应先识别问题具有时效性，再显式走网页检索、官方文档或内部最新库；若没有新鲜数据，就应返回无法确认，而不是凭旧记忆硬答。
如何判断问题更适合查询数据库工具，而不是向量库？,当问题需要精确过滤、聚合、排序或最新状态时，优先走数据库或 API 工具，而不是向量库。典型信号包括带有时间范围、数值统计、唯一 ID、状态字段、分页排序、事务一致性要求等。例如查询本周未支付订单数、某工单当前负责人、某实验最新指标，这些都更像结构化查询。向量检索适合找相关文本证据，不适合承担精确算子、事务读写和强一致查询的职责。
多跳问题为什么单轮相似度检索容易失败，改进路径是什么？,多跳问题之所以容易让单轮相似度检索失败，是因为用户问题往往把两个甚至多个检索目标压缩在一句话里，单次向量化后只会得到一个混合语义中心。结果是每个子问题都匹配得不够好。更稳妥的做法是先做问题分解或多查询扩展，把复杂问题拆成若干可独立检索的子问题，再对子结果做融合、验证和综合生成。若仍不稳定，可以使用 agentic retrieval，让模型根据中间证据决定下一步该查什么。
Parent-Child chunk 策略适合解决什么问题？,Parent-Child chunk 策略主要解决检索粒度和生成上下文粒度不一致的问题。子块用于高精度召回，因为更短、更聚焦；父块用于生成，因为它保留更完整的段落、标题层级和前后约束。这样做能减少大块检索不准与小块上下文不够的两难。它特别适合规章制度、技术文档、长论文这类存在明显章节结构的文本，也便于自动评测到底是召回错了，还是生成时缺失上位语境。
什么是查询改写，多查询检索适用什么场景？,查询改写的目标是让用户原问题更适合被检索系统命中，多查询检索则是把同一问题改写成多个互补版本并行召回。前者常用于纠正口语、省略、代词或业务别名；后者适用于同义词多、表达分散、跨中英文术语或多面向问题。一个可判分的经验规则是：如果你发现同一问题改写一下措辞就会命中完全不同的证据库片段，那么多查询检索通常值得加入，否则单查询足够。
什么时候应该引入 hybrid retrieval，而不是只做 dense retrieval？,只做 dense retrieval 在很多业务里不够，因为语义相似并不等于业务相关。涉及精确型号、错误码、法律条款编号、药物名称、缩写、函数名、日志关键字时，关键词信号往往比抽象语义更重要。Hybrid retrieval 的价值就在于同时保留 BM25 的精确匹配能力和向量检索的语义泛化能力。一个常见落地方式是先双路召回，再用融合或重排统一排序，这通常比单一路线更稳。
