kid,topic,subtopic,title,content,keywords
k-9a378bddd9da,RAG 基础架构与核心流程,检索增强原理,检索增强生成核心机制,检索增强生成通过引入外部知识库解决大模型知识滞后与幻觉问题。其核心机制是在生成前检索相关文档片段，将检索结果作为上下文注入提示词。这要求检索系统具备高召回率与准确率，确保注入信息真实有效。若检索内容噪声过大，会干扰模型推理，导致输出偏离事实。因此，检索质量直接决定 RAG 系统的最终效果，是架构设计的首要考量点。同时需考虑检索延迟对整体响应时间的影响。,RAG; 检索增强; 幻觉抑制; 上下文注入; 外部知识库
k-0da76989fd56,RAG 基础架构与核心流程,典型 RAG 流程,典型 RAG 四阶段流程,典型 RAG 流程包含索引构建、检索匹配、上下文增强与生成四个阶段。索引阶段将非结构化数据切片并转化为向量存储。检索阶段根据用户查询计算相似度得分。增强阶段将 Top-K 文档拼接至 Prompt。最后模型基于增强上下文生成回答。各阶段需独立优化，特别是切片粒度影响检索精度，向量数据库选型影响检索速度，工程实践中需平衡延迟与效果。,索引构建; 检索匹配; 上下文增强; 生成; 向量存储
k-29563e569daf,RAG 基础架构与核心流程,知识图谱 RAG,知识图谱与向量结合,知识图谱 RAG 将结构化图谱与向量检索结合，提升复杂关系推理能力。传统向量检索擅长语义匹配，但难以处理精确实体关系。引入图谱后，先通过实体链接定位节点，再沿关系路径检索邻居信息。这种混合检索方式能解决多跳推理问题，尤其适用于金融、医疗等强逻辑领域，但构建图谱成本较高，需权衡投入产出比。,知识图谱; 实体链接; 关系推理; 混合检索; 结构化数据
k-a7ab5fe62d41,RAG 基础架构与核心流程,多跳检索,多跳检索与问题分解,多跳检索用于处理需要多次推理才能回答的复杂问题。当单步检索无法获取完整信息时，系统将问题分解为子问题序列。每步检索结果作为下一步的输入，逐步逼近答案。实现方式包括查询重写、子问题生成或思维链提示。关键在于中间状态的传递与去重，避免检索路径发散，需设计合理的终止条件与置信度阈值来控制流程。,多跳检索; 问题分解; 子问题序列; 推理路径; 状态管理
k-1ff10ca512d9,RAG 基础架构与核心流程,流式输出,流式输出与延迟优化,流式输出技术将模型生成的 Token 实时推送给前端，显著降低首字延迟体验。在 RAG 场景中，检索完成后立即启动生成，无需等待完整响应。实现需配合 SSE 协议，服务端逐块发送数据。注意处理检索超时与生成中断的异常状态，前端需具备增量渲染能力。此方案提升交互流畅度，但对后端并发处理与网络稳定性提出更高要求。,流式输出; SSE 协议; 首字延迟; 增量渲染; 用户体验
k-39e82c5ddc6a,RAG 基础架构与核心流程,典型 RAG 流程,数据切片策略与粒度,数据切片是 RAG 索引构建的关键环节，直接影响检索粒度。固定字符数切片可能导致语义断裂，需结合重叠窗口保留上下文。语义切片依据段落或标题分割，保留完整逻辑单元。切片后需计算嵌入向量存入向量库。实践中需根据文档类型调整策略，长文档需分层索引，短文本需合并处理，避免碎片化导致信息丢失。,数据切片; 重叠窗口; 语义切片; 嵌入向量; 索引构建
k-801a8711f493,RAG 基础架构与核心流程,检索增强原理,稠密向量检索与重排序,RAG 系统的检索模块通常采用稠密向量检索，依赖预训练嵌入模型将文本映射为向量空间。查询与文档在向量空间计算余弦相似度或内积排序。混合检索结合关键词与向量，提升鲁棒性。检索策略包括重排序优化，利用交叉编码器对候选集精细化打分。模型选择需匹配领域，通用模型在垂直领域效果可能受限，需微调或替换专用嵌入模型。,稠密向量; 余弦相似度; 混合检索; 重排序; 交叉编码器
k-2ea9bac99c18,RAG 基础架构与核心流程,多跳检索,多跳检索查询重写,针对多跳检索，查询重写是常用优化手段。将原始复杂问题改写为多个独立子查询，分别检索后再聚合结果。这要求模型具备理解问题结构的能力。若子问题依赖前序结果，需构建状态机管理检索上下文。失败处理机制同样重要，当某步检索为空时，应触发备选策略或提示用户澄清，避免错误累积导致最终回答偏差。,查询重写; 独立子查询; 状态机; 失败处理; 备选策略
k-10be74afa18f,RAG 基础架构与核心流程,知识图谱 RAG,知识图谱实体链接精度,知识图谱 RAG 中，实体链接是将文本映射到图谱节点的过程，精度至关重要。链接错误会导致检索路径错误，产生幻觉。通常结合命名实体识别与向量相似度进行消歧。图谱构建需定期更新，保持与业务数据同步。在检索时，可限制遍历深度防止路径过长。该架构适合问答系统，但维护成本较高，适合高价值垂直场景。,实体链接; 命名实体识别; 消歧; 图谱更新; 垂直场景
k-4dd12cbb6d1d,RAG 基础架构与核心流程,流式输出,流式输出并发处理,流式输出在 RAG 中需处理检索与生成的并发。检索耗时可能长于生成耗时，需设计缓冲机制。若检索失败，流式通道应正常关闭并返回错误信息。前端展示时需处理乱序或延迟到达的 Token。结合打字机效果提升感知速度。生产环境需监控流式连接稳定性，防止因网络波动导致客户端解析错误，影响用户体验。,并发处理; 缓冲机制; 异常状态; 打字机效果; 连接稳定性
