query,answer
"LangChain v1.0中create_agent()函数的主要作用是什么？","LangChain v1.0的create_agent()函数是构建Agent的标准入口，统一了过去ReAct、Plan-and-Solve等多种Agent模式的实现逻辑。它基于LangGraph构建，提供了一行代码创建Agent的能力，支持中间件控制和标准化输出，简化了生产级Agent系统的开发流程。"
"LlamaIndex在2025年推出的NotebookLlama主要解决了什么问题？","NotebookLlama是LlamaIndex团队推出的完全开源、本地运行的NotebookLM替代品，解决了数据隐私和模型选择限制问题。它基于LlamaCloud专业级文档解析，支持OpenAI、Anthropic等多种模型，提供智能文档问答、播客生成、思维导图等功能，所有数据处理都在本地完成。"
"AutoGen在v0.4版本中的三层架构分别是什么？","AutoGen v0.4的三层架构包括：autogen-core负责底层事件驱动原语（RoutedAgent、订阅/发布消息传递）；autogen-agentchat是高层API（AssistantAgent、UserProxyAgent、GroupChat）；autogen-ext是可插拔扩展层（OpenAI Assistant API、MCP工作台、gRPC分布式智能体）。"
"LangGraph 1.0相比传统链式架构的主要优势有哪些？","LangGraph 1.0采用图式架构，支持循环、分支等复杂控制流，提供状态持久化、可回溯快照、任意节点可插入人工审核等企业级特性。相比传统线性链式架构，它在控制流灵活性、状态管理、人机协同和调试可视化方面有明显优势。"
"2025年提出的DeepNote框架相比基础RAG性能提升多少？","DeepNote是由清华等团队提出的以笔记为中心的深度检索增强生成框架，在所有任务上均优于主流RAG方法，相较于基础RAG性能提升高达20.1%。它通过引入笔记作为知识载体，实现更深入、更稳定的知识探索与整合。"
"向量检索中HNSW和IVF-PQ索引的主要区别是什么？","HNSW（分层可导航小世界）基于图结构，适合高精度、低延迟场景，召回率高但内存占用大。IVF-PQ（倒排文件+乘积量化）通过聚类和量化压缩，适合大规模数据、内存受限场景，召回率稍低但存储效率高。实际应用中常采用混合索引平衡性能。"
"Agent工具调用中常见的五类错误是什么？","Agent工具调用常见五类错误：1.工具选择错误（选错接口）；2.参数生成错误（类型、格式、漏传）；3.调用逻辑错误（顺序错乱）；4.依赖缺失错误（缺少前置信息）；5.外部接口错误（超时、限流、内部错误）。需从工具定义、前置校验、异常处理等多维度系统解决。"
"RAG系统中如何判断chunk大小是否合适？","判断chunk大小是否合适：1.检索召回率过低说明chunk可能太小，信息不完整；2.答案相关性差、包含无关信息说明chunk可能太大，噪声过多；3.可计算chunk内信息密度，或通过A/B测试不同大小在验证集上的表现；4.结合文档类型调整，技术文档宜小，叙述性文档可稍大。"
"LangSmith中的Trace功能主要用于什么场景？","LangSmith的Trace功能用于记录和可视化LangChain/LangGraph应用的执行过程，包括每个节点的输入输出、耗时、错误信息等。它帮助开发者调试Agent工作流、分析性能瓶颈、监控生产环境运行状态，并提供时间旅行调试能力，是开发和运维AI应用的重要工具。"
"什么是Prompt Injection攻击？常见的防御方法有哪些？","Prompt Injection是通过精心构造的输入绕过系统提示词限制的攻击方式。常见防御方法：1.输入过滤和清洗；2.系统提示词隔离；3.输出内容审核；4.使用沙箱环境；5.多层防御机制；6.定期更新提示词策略。2025年OpenAI等内容审核中间件也提供了内置防护。"
"为什么RAG系统有时会返回与问题无关的答案？","RAG返回无关答案的常见原因：1.检索质量差，未召回相关文档；2.chunk切分不合理，上下文不完整；3.重排序模型失效；4.LLM过度依赖参数知识而忽略检索内容；5.查询理解偏差，未准确捕捉用户意图。需从检索、分块、重排、生成各环节诊断。"
